"element","element-content-type","element-content","attribute","attribute-content"
"head","text","Frame 9/9 Recto","",""
"figDesc","text","recto 300 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP04063a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 9/9 Verso","",""
"figDesc","text","verso thumbnail","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP04064a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 9/9 Verso","",""
"figDesc","text","verso 75 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP04064a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 9/9 Verso","",""
"figDesc","text","verso 150 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP04064a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 9/9 Verso","",""
"figDesc","text","verso 300 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP04064a"
"teiHeader","elements","|encodingDesc||fileDesc||profileDesc|","type","text"
"fileDesc","elements","|publicationStmt||sourceDesc||titleStmt|","",""
"titleStmt","elements","|title|","",""
"title","text","Account of expenses.","",""
"publicationStmt","elements","|authority||idno||idno|","",""
"authority","text","APIS","",""
"idno","text","berkeley.apis.2678","type","apisid"
"idno","text","(CU)2678","type","controlNo"
"sourceDesc","elements","|msDesc|","default","false"
"msDesc","elements","|history||msContents||msIdentifier||physDesc|","",""
"msIdentifier","elements","|idno|","",""
"idno","text","P.Tebt.Frag.14,211+14,214,215+14,232+14,241+14,261+14,262+14,263+14,264+14,271","type","invNo"
"msContents","elements","|msItemStruct||summary|","defective","false"
"summary","text","Account of expenses mentioning small amounts for women and men. Frags. 14,261 and 14,263 (?) give overview of account.","",""
"msItemStruct","elements","|note||textLang|","defective","false"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","type","related"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","anchored","true"
"textLang","text","Demotic; verso of Frag. 145,215 in Greek.","mainLang","egy-Egyd"
"physDesc","elements","|handDesc||objectDesc|","",""
"objectDesc","elements","|layoutDesc||supportDesc|","",""
"supportDesc","elements","|condition||support|","",""
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"layoutDesc","elements","|layout|","",""
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"handDesc","elements","|p|","",""
"p","text","Same or similar hands on various fragments, but height varies.","",""
"history","elements","|origin||provenance|","",""
"origin","elements","|origDate|","instant","false"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notBefore","-0150"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notAfter","-0030"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","instant","false"
"provenance","elements","|p|","",""
"p","text","Mummy cartonnage at Tebtunis","",""
"encodingDesc","elements","|classDecl|","",""
"classDecl","elements","|taxonomy|","",""
"taxonomy","elements","|desc|","id","apis"
"desc","text","APIS keywords are controlled locally at the institution level. They are not necessarily consistent.","",""
"profileDesc","elements","|langUsage||textClass|","",""
"langUsage","elements","|language||language|","default","false"
"language","text","English","ident","en"
"language","text","Demotic; verso of Frag. 145,215 in Greek.","ident","egy-Egyd"
"textClass","elements","|keywords|","default","false"
"keywords","elements","|term||term||term|","scheme","#apis"
"term","text","Expense accounts","",""
"term","text","Accounts, Ptolemaic Period","type","genre_form"
"term","text","Papyri","type","genre_form"
"fileDesc","elements","|publicationStmt||sourceDesc||titleStmt|","",""
"titleStmt","elements","|title|","",""
"title","text","Account of expenses.","",""
"publicationStmt","elements","|authority||idno||idno|","",""
"authority","text","APIS","",""
"idno","text","berkeley.apis.2678","type","apisid"
"idno","text","(CU)2678","type","controlNo"
"sourceDesc","elements","|msDesc|","default","false"
"msDesc","elements","|history||msContents||msIdentifier||physDesc|","",""
"msIdentifier","elements","|idno|","",""
"idno","text","P.Tebt.Frag.14,211+14,214,215+14,232+14,241+14,261+14,262+14,263+14,264+14,271","type","invNo"
"msContents","elements","|msItemStruct||summary|","defective","false"
"summary","text","Account of expenses mentioning small amounts for women and men. Frags. 14,261 and 14,263 (?) give overview of account.","",""
"msItemStruct","elements","|note||textLang|","defective","false"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","type","related"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","anchored","true"
"textLang","text","Demotic; verso of Frag. 145,215 in Greek.","mainLang","egy-Egyd"
"physDesc","elements","|handDesc||objectDesc|","",""
"objectDesc","elements","|layoutDesc||supportDesc|","",""
"supportDesc","elements","|condition||support|","",""
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"layoutDesc","elements","|layout|","",""
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"handDesc","elements","|p|","",""
"p","text","Same or similar hands on various fragments, but height varies.","",""
"history","elements","|origin||provenance|","",""
"origin","elements","|origDate|","instant","false"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notBefore","-0150"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notAfter","-0030"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","instant","false"
"provenance","elements","|p|","",""
"p","text","Mummy cartonnage at Tebtunis","",""
"titleStmt","elements","|title|","",""
"title","text","Account of expenses.","",""
"title","text","Account of expenses.","",""
"publicationStmt","elements","|authority||idno||idno|","",""
"authority","text","APIS","",""
"idno","text","berkeley.apis.2678","type","apisid"
"idno","text","(CU)2678","type","controlNo"
"authority","text","APIS","",""
"idno","text","berkeley.apis.2678","type","apisid"
"idno","text","(CU)2678","type","controlNo"
"sourceDesc","elements","|msDesc|","default","false"
"msDesc","elements","|history||msContents||msIdentifier||physDesc|","",""
"msIdentifier","elements","|idno|","",""
"idno","text","P.Tebt.Frag.14,211+14,214,215+14,232+14,241+14,261+14,262+14,263+14,264+14,271","type","invNo"
"msContents","elements","|msItemStruct||summary|","defective","false"
"summary","text","Account of expenses mentioning small amounts for women and men. Frags. 14,261 and 14,263 (?) give overview of account.","",""
"msItemStruct","elements","|note||textLang|","defective","false"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","type","related"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","anchored","true"
"textLang","text","Demotic; verso of Frag. 145,215 in Greek.","mainLang","egy-Egyd"
"physDesc","elements","|handDesc||objectDesc|","",""
"objectDesc","elements","|layoutDesc||supportDesc|","",""
"supportDesc","elements","|condition||support|","",""
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"layoutDesc","elements","|layout|","",""
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"handDesc","elements","|p|","",""
"p","text","Same or similar hands on various fragments, but height varies.","",""
"history","elements","|origin||provenance|","",""
"origin","elements","|origDate|","instant","false"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notBefore","-0150"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notAfter","-0030"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","instant","false"
"provenance","elements","|p|","",""
"p","text","Mummy cartonnage at Tebtunis","",""
"msDesc","elements","|history||msContents||msIdentifier||physDesc|","",""
"msIdentifier","elements","|idno|","",""
"idno","text","P.Tebt.Frag.14,211+14,214,215+14,232+14,241+14,261+14,262+14,263+14,264+14,271","type","invNo"
"msContents","elements","|msItemStruct||summary|","defective","false"
"summary","text","Account of expenses mentioning small amounts for women and men. Frags. 14,261 and 14,263 (?) give overview of account.","",""
"msItemStruct","elements","|note||textLang|","defective","false"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","type","related"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","anchored","true"
"textLang","text","Demotic; verso of Frag. 145,215 in Greek.","mainLang","egy-Egyd"
"physDesc","elements","|handDesc||objectDesc|","",""
"objectDesc","elements","|layoutDesc||supportDesc|","",""
"supportDesc","elements","|condition||support|","",""
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"layoutDesc","elements","|layout|","",""
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"handDesc","elements","|p|","",""
"p","text","Same or similar hands on various fragments, but height varies.","",""
"history","elements","|origin||provenance|","",""
"origin","elements","|origDate|","instant","false"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notBefore","-0150"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notAfter","-0030"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","instant","false"
"provenance","elements","|p|","",""
"p","text","Mummy cartonnage at Tebtunis","",""
"msIdentifier","elements","|idno|","",""
"idno","text","P.Tebt.Frag.14,211+14,214,215+14,232+14,241+14,261+14,262+14,263+14,264+14,271","type","invNo"
"idno","text","P.Tebt.Frag.14,211+14,214,215+14,232+14,241+14,261+14,262+14,263+14,264+14,271","type","invNo"
"msContents","elements","|msItemStruct||summary|","defective","false"
"summary","text","Account of expenses mentioning small amounts for women and men. Frags. 14,261 and 14,263 (?) give overview of account.","",""
"msItemStruct","elements","|note||textLang|","defective","false"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","type","related"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","anchored","true"
"textLang","text","Demotic; verso of Frag. 145,215 in Greek.","mainLang","egy-Egyd"
"summary","text","Account of expenses mentioning small amounts for women and men. Frags. 14,261 and 14,263 (?) give overview of account.","",""
"msItemStruct","elements","|note||textLang|","defective","false"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","type","related"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","anchored","true"
"textLang","text","Demotic; verso of Frag. 145,215 in Greek.","mainLang","egy-Egyd"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","type","related"
"note","text","Related to P.Tebt.Frag.14,435 and 14,436","anchored","true"
"textLang","text","Demotic; verso of Frag. 145,215 in Greek.","mainLang","egy-Egyd"
"physDesc","elements","|handDesc||objectDesc|","",""
"objectDesc","elements","|layoutDesc||supportDesc|","",""
"supportDesc","elements","|condition||support|","",""
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"layoutDesc","elements","|layout|","",""
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"handDesc","elements","|p|","",""
"p","text","Same or similar hands on various fragments, but height varies.","",""
"objectDesc","elements","|layoutDesc||supportDesc|","",""
"supportDesc","elements","|condition||support|","",""
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"layoutDesc","elements","|layout|","",""
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"supportDesc","elements","|condition||support|","",""
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"support","text","9 papyri ; Frag. 14,211, 17 x 14 cm. (frame 1); Frag. 14,215, 20 x 13 cm. (frame 2); Frag. 14,232, 13 x 13 cm. (frame 3); Frag. 14,241, 16.5 x 16 cm. (frame 4); Frag. 14,261, 15 x 21 cm. (frame 5); Frag. 14,262, 15 x 21 cm. (frame 6); Frag. 14,263, 16 x 21 cm. (frame 7); Frag. 14,264, 29.5 x 14.5 cm. (frame 8); Frag. 14,271, 12.5 x 23 cm. (frame 9)","",""
"condition","elements","|ab|","",""
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"ab","text","Most gesso and paint removed","type","conservation"
"ab","text","Most gesso and paint removed","part","N"
"layoutDesc","elements","|layout|","",""
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"layout","elements","|ab||ab|","",""
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","type","lines"
"ab","text","17 cols. on recto along the fibers; 17+ cols. on verso across the fibers.","part","N"
"ab","text","Verso: continuation of text","type","recto-verso"
"ab","text","Verso: continuation of text","part","N"
"handDesc","elements","|p|","",""
"p","text","Same or similar hands on various fragments, but height varies.","",""
"p","text","Same or similar hands on various fragments, but height varies.","",""
"history","elements","|origin||provenance|","",""
"origin","elements","|origDate|","instant","false"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notBefore","-0150"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notAfter","-0030"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","instant","false"
"provenance","elements","|p|","",""
"p","text","Mummy cartonnage at Tebtunis","",""
"origin","elements","|origDate|","instant","false"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notBefore","-0150"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notAfter","-0030"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","instant","false"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notBefore","-0150"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","notAfter","-0030"
"origDate","text","Between ca. 150 and ca. 30 B.C.?","instant","false"
"provenance","elements","|p|","",""
"p","text","Mummy cartonnage at Tebtunis","",""
"p","text","Mummy cartonnage at Tebtunis","",""
"encodingDesc","elements","|classDecl|","",""
"classDecl","elements","|taxonomy|","",""
"taxonomy","elements","|desc|","id","apis"
"desc","text","APIS keywords are controlled locally at the institution level. They are not necessarily consistent.","",""
"classDecl","elements","|taxonomy|","",""
"taxonomy","elements","|desc|","id","apis"
"desc","text","APIS keywords are controlled locally at the institution level. They are not necessarily consistent.","",""
"taxonomy","elements","|desc|","id","apis"
"desc","text","APIS keywords are controlled locally at the institution level. They are not necessarily consistent.","",""
"desc","text","APIS keywords are controlled locally at the institution level. They are not necessarily consistent.","",""
"profileDesc","elements","|langUsage||textClass|","",""
"langUsage","elements","|language||language|","default","false"
"language","text","English","ident","en"
"language","text","Demotic; verso of Frag. 145,215 in Greek.","ident","egy-Egyd"
"textClass","elements","|keywords|","default","false"
"keywords","elements","|term||term||term|","scheme","#apis"
"term","text","Expense accounts","",""
"term","text","Accounts, Ptolemaic Period","type","genre_form"
"term","text","Papyri","type","genre_form"
"langUsage","elements","|language||language|","default","false"
"language","text","English","ident","en"
"language","text","Demotic; verso of Frag. 145,215 in Greek.","ident","egy-Egyd"
"language","text","English","ident","en"
"language","text","Demotic; verso of Frag. 145,215 in Greek.","ident","egy-Egyd"
"textClass","elements","|keywords|","default","false"
"keywords","elements","|term||term||term|","scheme","#apis"
"term","text","Expense accounts","",""
"term","text","Accounts, Ptolemaic Period","type","genre_form"
"term","text","Papyri","type","genre_form"
"keywords","elements","|term||term||term|","scheme","#apis"
"term","text","Expense accounts","",""
"term","text","Accounts, Ptolemaic Period","type","genre_form"
"term","text","Papyri","type","genre_form"
"term","text","Expense accounts","",""
"term","text","Accounts, Ptolemaic Period","type","genre_form"
"term","text","Papyri","type","genre_form"
"text","elements","|body|","",""
"body","elements","|div||div|","",""
"div","elements","|p|","type","bibliography"
"div","elements","|p|","subtype","citations"
"div","elements","|p|","org","uniform"
"div","elements","|p|","sample","complete"
"div","elements","|p|","part","N"
"p","mixed","<<ref>>.","",""
"ref","text","Original record","target","http://sunsite.berkeley.edu/cgi-bin/apisdb/record/2678"
"div","elements","|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|","type","figure"
"div","elements","|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|","org","uniform"
"div","elements","|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|","sample","complete"
"div","elements","|figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure||figure|","part","N"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 Recto","",""
"figDesc","text","recto thumbnail","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP04047a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 Recto","",""
"figDesc","text","recto 75 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP04047a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 Recto","",""
"figDesc","text","recto 150 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP04047a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 Recto","",""
"figDesc","text","recto 300 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP04047a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 verso","",""
"figDesc","text","verso thumbnail","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP04048a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 verso","",""
"figDesc","text","verso 75 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP04048a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 verso","",""
"figDesc","text","verso 150 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP04048a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 1/9 verso","",""
"figDesc","text","verso 300 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP04048a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Recto","",""
"figDesc","text","recto thumbnail","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP04049a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Recto","",""
"figDesc","text","recto 75 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP04049a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Recto","",""
"figDesc","text","recto 150 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP04049a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Recto","",""
"figDesc","text","recto 300 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP04049a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Verso","",""
"figDesc","text","verso thumbnail","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP04050a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Verso","",""
"figDesc","text","verso 75 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP04050a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Verso","",""
"figDesc","text","verso 150 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP04050a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 2/9 Verso","",""
"figDesc","text","verso 300 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP04050a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 3/9 Recto","",""
"figDesc","text","recto thumbnail","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP04051a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 3/9 Recto","",""
"figDesc","text","recto 75 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP04051a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 3/9 Recto","",""
"figDesc","text","recto 150 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP04051a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 3/9 Recto","",""
"figDesc","text","recto 300 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/hires/AP04051a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 3/9 Verso","",""
"figDesc","text","verso thumbnail","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/thumbnail/AP04052a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 3/9 Verso","",""
"figDesc","text","verso 75 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medres/AP04052a"
"figure","elements","|figDesc||graphic||head|","",""
"head","text","Frame 3/9 Verso","",""
"figDesc","text","verso 150 dpi","",""
"graphic","empty","","url","http://sunsite.berkeley.edu/cgi-bin/apisdb/image/medhires/AP04052a"
"figure","elements","|figDesc||graphic||head|","",""
